country,gdp,imr,it,le
South Africa,12300.0,50.1,349,52.1
South Korea,29300.0,4.8,38,78.8
Spain,38400.0,3.8,13,80.6
Sri Lanka,7270.0,12.1,27,73.3
St. Kitts and Nevis,23100.0,16.0,5,71.4
St. Lucia,13200.0,16.0,8,74.3
St. Vincent and the Grenadines,11000.0,19.0,14,72.6
Sudan,4620.0,57.8,103,65.5
Suriname,15500.0,23.6,53,70.6
Sweden,46100.0,3.0,3,81.0
Switzerland,61800.0,4.3,3,81.7
Syria,11300.0,16.8,8,74.4
Tajikistan,1970.0,47.2,86,67.5
Tanzania,1710.0,58.6,131,56.5
Thailand,12500.0,14.7,62,74.8
Timor-Leste,2540.0,70.5,145,67.7
Togo,1550.0,66.3,174,56.9
Tonga,5200.0,12.7,11,72.0
Trinidad and Tobago,24100.0,23.2,5,71.9
Tunisia,9080.0,18.8,11,75.4
Turkey,18200.0,22.0,13,76.8
Turkmenistan,5810.0,44.4,31,65.8
Tuvalu,3360.0,30.8,80,65.7
UAE,96000.0,8.4,7,69.2
UK,43200.0,5.1,6,79.3
USA,55400.0,6.7,2,77.7
Uganda,1510.0,65.9,151,53.9
Ukraine,11400.0,12.5,44,67.8
Uruguay,15000.0,12.5,12,75.5
Uzbekistan,3820.0,36.9,53,64.5
Vanuatu,2790.0,23.7,37,63.8
Venezuela,17100.0,15.9,18,75.0
Vietnam,4920.0,20.0,77,72.8
Yemen,4170.0,54.9,37,65.8
Zambia,2450.0,62.4,224,48.7
Zimbabwe,1840.0,53.9,311,46.8
